2026-01-18 01:44:11,835 | INFO  | Thread-20 (run) | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Starting SamComponentBase run method.
2026-01-18 01:44:11,835 | INFO  | Thread-13 (run) | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Async operations thread started.
2026-01-18 01:44:11,835 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Solace AI Event Connector started successfully
2026-01-18 01:44:11,835 | INFO  | Thread-6 (run) | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Setting up async initialization monitoring...
2026-01-18 01:44:11,836 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Starting _async_setup_and_run as an asyncio task. Will run event loop forever (or until stop_signal).
2026-01-18 01:44:11,836 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Starting _async_setup_and_run as an asyncio task. Will run event loop forever (or until stop_signal).
2026-01-18 01:44:11,836 | INFO  | Thread-20 (run) | solace_agent_mesh.services.platform.component | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Starting late initialization (broker-dependent services)...
2026-01-18 01:44:11,836 | INFO  | Thread-6 (run) | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Async initialization monitoring active (non-blocking).
2026-01-18 01:44:11,836 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Loading tools asynchronously in dedicated thread...
2026-01-18 01:44:11,836 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.base.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Starting gateway card publishing every 30 seconds
2026-01-18 01:44:11,836 | WARNING | Thread-20 (run) | solace_agent_mesh.services.platform.component | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Could not initialize direct publisher: 'DevMessagingService' object has no attribute 'create_direct_message_publisher_builder' (deployment commands will not work)
2026-01-18 01:44:11,837 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Loading 2 tool(s) from 'tools' list configuration...
2026-01-18 01:44:11,837 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.base.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Starting _start_listener() to initiate external platform connection.
